group,rescued_total,rescued_true_changed_fraction,rescued_true_scope_context_fraction,rescued_false_scope_fraction,correct_edit_rate_rescued_true_changed_budget,preserve_rate_rescued_true_scope_context_budget,preserve_rate_rescued_false_scope_budget,base_scope_context_preserve_rate_base,base_scope_context_preserve_rate_budget,spillover_context_drop,all_context_drop,extra_context_errors_rescued_true_scope_context,extra_context_errors_rescued_false_scope,extra_context_errors_base_scope_spillover
overall,9477,0.02775139812176849,0.09232879603249973,0.8799198058457318,0.3193916349809886,0.8788571428571429,0.768557380980933,0.7706462534962462,0.7706462534962462,0.0,0.01210319214784683,106.0,1930.0,0.0
event_type::edge_add,3058,0.026814911706998037,0.04512753433616743,0.9280575539568345,0.3902439024390244,0.8985507246376812,0.792107117688513,0.7896696137738483,0.7896696137738483,0.0,0.011178826397353236,14.0,590.0,0.0
event_type::edge_delete,3201,0.07122774133083412,0.032489846922836615,0.8962824117463293,0.2675438596491228,0.8461538461538461,0.7790170791216452,0.7643282897753324,0.7643282897753324,0.0,0.011549157533126131,16.0,634.0,0.0
event_type::node_state_update,2790,0.015053763440860216,0.18996415770609318,0.7949820788530466,0.2857142857142857,0.8188679245283019,0.7326420198376916,0.7495283018867924,0.7495283018867924,0.0,0.013867317506101595,96.0,593.0,0.0
event_type::motif_type_flip,2583,0.006581494386372435,0.16879597367402246,0.8246225319396051,0.35294117647058826,0.9357798165137615,0.755868544600939,0.7875066737853711,0.7875066737853711,0.0,0.011611030478955064,28.0,520.0,0.0
