group,rescued_total,rescued_true_changed_fraction,rescued_true_scope_context_fraction,rescued_false_scope_fraction,correct_edit_rate_rescued_true_changed_budget,preserve_rate_rescued_true_scope_context_budget,preserve_rate_rescued_false_scope_budget,base_scope_context_preserve_rate_base,base_scope_context_preserve_rate_budget,spillover_context_drop,all_context_drop,extra_context_errors_rescued_true_scope_context,extra_context_errors_rescued_false_scope,extra_context_errors_base_scope_spillover
overall,28760,0.032545201668984704,0.018115438108484004,0.9493393602225313,0.7841880341880342,0.7562380038387716,0.30289711753287185,0.6677799607072692,0.6677799607072692,0.0,0.0356169127833289,44.0,17381.0,0.0
event_type::edge_add,9282,0.08694246929541047,0.007972419737125619,0.9050851109674639,0.8451053283767038,0.8108108108108109,0.32638971551005835,0.6736249458640104,0.6736249458640104,0.0,0.032898020778919235,-1.0,5131.0,0.0
event_type::edge_delete,9950,0.024623115577889446,0.005728643216080402,0.9696482412060301,0.5755102040816327,0.8070175438596491,0.2921849087893864,0.667720559573823,0.667720559573823,0.0,0.037701074213424945,4.0,6260.0,0.0
event_type::node_state_update,8455,0.01478415138971023,0.04967474866942637,0.9355410999408634,0.816,0.7166666666666667,0.28975979772439947,0.6552406064601186,0.6552406064601186,0.0,0.03601804600251457,66.0,5153.0,0.0
event_type::motif_type_flip,7696,0.011044698544698545,0.02091995841995842,0.968035343035343,0.6823529411764706,0.8260869565217391,0.3131543624161074,0.6773159739609415,0.6773159739609415,0.0,0.03465838843197333,-10.0,4644.0,0.0
