group,rescued_total,rescued_true_changed_fraction,rescued_true_scope_context_fraction,rescued_false_scope_fraction,correct_edit_rate_rescued_true_changed_budget,preserve_rate_rescued_true_scope_context_budget,preserve_rate_rescued_false_scope_budget,base_scope_context_preserve_rate_base,base_scope_context_preserve_rate_budget,spillover_context_drop,all_context_drop,extra_context_errors_rescued_true_scope_context,extra_context_errors_rescued_false_scope,extra_context_errors_base_scope_spillover
overall,28760,0.032545201668984704,0.018115438108484004,0.9493393602225313,0.7895299145299145,0.7696737044145874,0.31033219792696776,0.6624052764524277,0.6624052764524277,0.0,0.03532584667079319,37.0,17178.0,0.0
event_type::edge_add,9282,0.08694246929541047,0.007972419737125619,0.9050851109674639,0.8686493184634448,0.7567567567567568,0.34483990001190334,0.6681680381117366,0.6681680381117366,0.0,0.03212026234836618,3.0,4976.0,0.0
event_type::edge_delete,9950,0.024623115577889446,0.005728643216080402,0.9696482412060301,0.5265306122448979,0.8070175438596491,0.3003731343283582,0.661527134133137,0.661527134133137,0.0,0.03738480833197011,4.0,6181.0,0.0
event_type::node_state_update,8455,0.01478415138971023,0.04967474866942637,0.9355410999408634,0.88,0.7476190476190476,0.2945638432364096,0.6504378943403334,0.6504378943403334,0.0,0.03582082193131675,53.0,5115.0,0.0
event_type::motif_type_flip,7696,0.011044698544698545,0.02091995841995842,0.968035343035343,0.7058823529411765,0.8260869565217391,0.3123489932885906,0.6694041061592388,0.6694041061592388,0.0,0.034752459280761205,-10.0,4650.0,0.0
