mode,group,edge_recall,out_of_scope_miss_edge,edge_pred_total,rescued_true_changed_fraction,rescued_true_scope_context_fraction,rescued_false_scope_fraction,true_changed_correct_rate,false_scope_preserve_rate,false_scope_preserve_rate_base,false_scope_extra_context_errors,spillover_context_drop,full_edge,changed_edge,context_edge,add,delete,delta_full_edge_vs_step9c,delta_changed_edge_vs_step9c,delta_context_edge_vs_step9c,delta_add_vs_step9c,delta_delete_vs_step9c
base,overall,0.48097955301949596,0.5190204469805041,146566,,,,,,,,,0.8742081546465812,0.2710413694721826,0.8835551330798479,0.09579667644183773,0.43703703703703706,0.03335365101479559,-0.0939134569662387,0.03532584667079319,-0.1857282502443793,-0.00694444444444442
step9c_completion_only,overall,0.5922491678554446,0.4077508321445554,175326,0.032545201668984704,0.018115438108484004,0.9493393602225313,0.7895299145299145,0.31033219792696776,0.9394938285170128,17178.0,0.0,0.8408545036317856,0.3649548264384213,0.8482292864090547,0.28152492668621704,0.4439814814814815,0.0,0.0,0.0,0.0,0.0
step9c_oracle_false_scope_fallback,overall,0.5922491678554446,0.4077508321445554,175326,0.032545201668984704,0.018115438108484004,0.9493393602225313,0.7895299145299145,0.9394938285170128,0.9394938285170128,0.0,0.0,0.8755977389323059,0.3649548264384213,0.8835109205057918,0.28152492668621704,0.4439814814814815,0.03474323530052026,0.0,0.035281634096737124,0.0,0.0
oracle_event_scope_guard_budget_0.10,overall,0.9323585354255824,0.0676414645744175,175326,0.13202364394993046,0.06856745479833101,0.7994089012517386,0.8119568080063208,0.3078161019529381,0.9395850550215301,14525.0,0.0,0.8505307994282024,0.6050879695672848,0.8543343060099625,0.8069403714565004,0.41388888888888886,0.009676295796416823,0.24013314312886352,0.006105019600907813,0.5254154447702835,-0.030092592592592615
