mode,group,edge_recall,out_of_scope_miss_edge,edge_pred_total,rescued_true_changed_fraction,rescued_true_scope_context_fraction,rescued_false_scope_fraction,true_changed_correct_rate,false_scope_preserve_rate,false_scope_preserve_rate_base,false_scope_extra_context_errors,spillover_context_drop,full_edge,changed_edge,context_edge,add,delete,delta_full_edge_vs_step9c,delta_changed_edge_vs_step9c,delta_context_edge_vs_step9c,delta_add_vs_step9c,delta_delete_vs_step9c
base,overall,0.20114122681883023,0.7988587731811697,14150,,,,,,,,,0.9688921784182685,0.07275320970042796,0.982779202405164,0.021994134897360705,0.12083333333333333,0.01142869582253958,-0.03209700427960056,0.01210319214784683,-0.02346041055718475,-0.04027777777777779
step9c_completion_only,overall,0.2949358059914408,0.7050641940085592,23627,0.02775139812176849,0.09232879603249973,0.8799198058457318,0.3193916349809886,0.768557380980933,1.0,1930.0,0.0,0.9574634825957289,0.10485021398002853,0.9706760102573172,0.045454545454545456,0.16111111111111112,0.0,0.0,0.0,0.0,0.0
step9c_oracle_false_scope_fallback,overall,0.2949358059914408,0.7050641940085592,23627,0.02775139812176849,0.09232879603249973,0.8799198058457318,0.3193916349809886,1.0,1.0,0.0,0.0,0.968805102640573,0.10485021398002853,0.9821933857989212,0.045454545454545456,0.16111111111111112,0.01134162004484407,0.0,0.011517375541604036,0.0,0.0
oracle_event_scope_guard_budget_0.10,overall,0.775320970042796,0.22467902995720399,23627,0.1698849846997995,0.2422707607892793,0.5878442545109211,0.6142857142857143,0.7698797343385388,1.0,1282.0,0.0,0.9647451945055184,0.43794579172610554,0.9729087452471483,0.6011730205278593,0.2833333333333333,0.0072817119097895455,0.333095577746077,0.00223273498983112,0.5557184750733138,0.1222222222222222
