mode,group,edge_recall,out_of_scope_miss_edge,edge_pred_total,rescued_true_changed_fraction,rescued_true_scope_context_fraction,rescued_false_scope_fraction,true_changed_correct_rate,false_scope_preserve_rate,false_scope_preserve_rate_base,false_scope_extra_context_errors,spillover_context_drop,full_edge,changed_edge,context_edge,add,delete,delta_full_edge_vs_step9c,delta_changed_edge_vs_step9c,delta_context_edge_vs_step9c,delta_add_vs_step9c,delta_delete_vs_step9c
base,overall,0.48097955301949596,0.5190204469805041,146566,,,,,,,,,0.8754634971083586,0.2622444127436995,0.8849662510684705,0.08944281524926687,0.42592592592592593,0.033662044394134005,-0.09248692344270093,0.0356169127833289,-0.17937438905180839,-0.010185185185185186
step9c_completion_only,overall,0.5922491678554446,0.4077508321445554,175326,0.032545201668984704,0.018115438108484004,0.9493393602225313,0.7841880341880342,0.30289711753287185,0.9394938285170128,17381.0,0.0,0.8418014527142246,0.3547313361864004,0.8493493382851416,0.26881720430107525,0.4361111111111111,0.0,0.0,0.0,0.0,0.0
step9c_oracle_false_scope_fallback,overall,0.5922491678554446,0.4077508321445554,175326,0.032545201668984704,0.018115438108484004,0.9493393602225313,0.7841880341880342,0.9394938285170128,0.9394938285170128,0.0,0.0,0.8768204279774474,0.3547313361864004,0.8849109853509005,0.26881720430107525,0.4361111111111111,0.03501897526322284,0.0,0.03556164706575893,0.0,0.0
oracle_event_scope_guard_budget_0.10,overall,0.9323585354255824,0.0676414645744175,175326,0.13202364394993046,0.06856745479833101,0.7994089012517386,0.788253884645773,0.3020312296115871,0.9395850550215301,14658.0,0.0,0.8512818280108264,0.5848787446504993,0.8554101453119934,0.770772238514174,0.40879629629629627,0.00948037529660184,0.23014740846409887,0.0060608070268518555,0.5019550342130987,-0.027314814814814847
