section,group,count,full_edge,context_edge,changed_edge,add,delete,full_type,state_mae,proposal_node_scope_recall,proposal_edge_scope_recall,proposal_edge_scope_excess_ratio,proposal_out_of_scope_miss_edge
overall_final,overall,1800,0.8360804473304473,0.8409764607820163,0.3713646532438479,0.1090146750524109,0.6714628297362111,0.9793281425364758,0.12302948782730148,0.972546476437527,0.7094833687190375,0.9132522822653918,0.5480984340044743
overall_all_steps,overall,5400,0.8331772620383732,0.8383083154842415,0.3835125448028674,0.1015406162464986,0.6791483113069016,0.9773900112233445,0.12374742696944484,0.9718770438194899,0.7072120559741658,0.9156213879018794,0.5311827956989248
by_dependency_bucket_final,fully_independent,600,0.8384829244829245,0.8445100393433727,0.41371158392434987,0.08717948717948718,0.6929824561403509,0.9898282828282828,0.12077916867521776,0.9545098039215686,0.5896296296296296,0.9496775825009482,0.5319148936170213
by_dependency_bucket_final,partially_dependent,600,0.8319771524771525,0.8370242226908893,0.4269005847953216,0.16049382716049382,0.6666666666666666,0.9780816498316498,0.1220310513196444,0.9804713804713805,0.7084745762711865,0.9196565863659661,0.45321637426900585
by_dependency_bucket_final,strongly_interacting,600,0.837781265031265,0.841395120311787,0.08527131782945736,0.075,0.2222222222222222,0.9700744949494949,0.1262782434870423,0.9785637727759914,0.7740916271721959,0.8675675675675676,0.8527131782945736
by_dependency_bucket_all_steps,fully_independent,1800,0.8360152717652718,0.8420339033394589,0.3747747747747748,0.08468468468468468,0.6648648648648648,0.9817240460157126,0.1219237531509196,0.9638989169675091,0.6543524416135881,0.935585001881035,0.5423423423423424
by_dependency_bucket_all_steps,partially_dependent,1800,0.8278970658970659,0.8327797932520155,0.40634920634920635,0.10888888888888888,0.6767676767676768,0.9781365039281705,0.12363104021226032,0.9719461011707533,0.7158049138247158,0.9180004200798152,0.49417989417989416
by_dependency_bucket_all_steps,strongly_interacting,1800,0.8356194484527818,0.8401112498612499,0.3673469387755102,0.11583924349881797,0.7083333333333334,0.9723094837261504,0.12568748754515457,0.9783421933451467,0.7380298871607197,0.8917177502349098,0.5619047619047619
by_event_type_all_steps,edge_add,1428,0.8124446748396328,0.8284659007348083,0.1015406162464986,0.1015406162464986,,0.996892418583595,0.11895422250930678,0.9656862745098039,0.14565826330532214,0.9892104990144206,0.8543417366946778
by_event_type_all_steps,edge_delete,1362,0.8440149343233043,0.847560733170131,0.6791483113069016,,0.6791483113069016,0.9978149705572613,0.11915757485927805,0.9761380323054332,0.8076358296622613,0.9359235742995282,0.19236417033773867
by_event_type_all_steps,motif_type_flip,1149,0.8353884487043756,0.8353884487043756,,,,0.9033283223883747,0.12180467924957035,0.9823034522773426,0.8520452567449956,0.8763966921280222,
by_event_type_all_steps,node_state_update,1461,0.8415992821536968,0.8415992821536968,,,,0.9975328230975049,0.13423907082520123,0.9655682298267849,0.8087381607088299,0.8512169074251026,
by_corruption_setting_final,N1,600,0.8549729437229437,0.8600101750101751,0.3825503355704698,0.09433962264150944,0.7122302158273381,0.9794873737373738,0.08512281163192358,0.9766536964980544,0.7314225053078556,0.9076902465166131,0.5369127516778524
by_corruption_setting_final,N2,600,0.835016354016354,0.8398521941021941,0.37583892617449666,0.11320754716981132,0.6762589928057554,0.9794204545454545,0.11016893813731495,0.9734111543450065,0.721868365180467,0.9125739264592441,0.5067114093959731
by_corruption_setting_final,N3,600,0.8182520442520442,0.8230670132336799,0.35570469798657717,0.11949685534591195,0.6258992805755396,0.9790765993265993,0.17379671371266597,0.9675745784695201,0.6751592356687898,0.9191970524710964,0.6006711409395973
by_corruption_setting_all_steps,N1,1800,0.850765111431778,0.8561096424151979,0.3860215053763441,0.0819327731092437,0.7048458149779736,0.9772958754208754,0.08545545796336299,0.9777632439502943,0.7434517402224614,0.9086218302094818,0.5139784946236559
by_corruption_setting_all_steps,N2,1800,0.8330086179252846,0.8382811108644442,0.3709677419354839,0.08823529411764706,0.6674008810572687,0.9770817901234569,0.11064075506444264,0.9727490734684979,0.7086472909939002,0.9158679446219382,0.5193548387096774
by_corruption_setting_all_steps,N3,1800,0.8157580567580568,0.820534193173082,0.3935483870967742,0.13445378151260504,0.6651982378854625,0.9777923681257015,0.1751460678805289,0.9651188140396774,0.6695371367061357,0.9220127888995695,0.5602150537634409
