section,group,count,full_edge,context_edge,changed_edge,add,delete,full_type,state_mae,proposal_node_scope_recall,proposal_edge_scope_recall,proposal_edge_scope_excess_ratio,proposal_out_of_scope_miss_edge
overall_final,overall,1800,0.8748856822190156,0.8818045575823353,0.2360178970917226,0.10272536687631027,0.38848920863309355,0.9770345117845118,0.13278998569166653,0.972546476437527,0.7094833687190375,0.9132522822653918,0.5480984340044743
overall_all_steps,overall,5400,0.8738277751055529,0.881056218815478,0.25197132616487455,0.10364145658263306,0.40748898678414097,0.9752491582491581,0.13323677640082715,0.9718770438194899,0.7072120559741658,0.9156213879018794,0.5311827956989248
by_dependency_bucket_final,fully_independent,600,0.8767415824915825,0.885850720267387,0.2624113475177305,0.08717948717948718,0.41228070175438597,0.9865606060606059,0.13041810234182008,0.9545098039215686,0.5896296296296296,0.9496775825009482,0.5319148936170213
by_dependency_bucket_final,partially_dependent,600,0.8697487974987975,0.8775765253265253,0.2573099415204678,0.13580246913580246,0.36666666666666664,0.9752462121212121,0.13254169350609132,0.9804713804713805,0.7084745762711865,0.9196565863659661,0.45321637426900585
by_dependency_bucket_final,strongly_interacting,600,0.8781666666666667,0.8819864271530938,0.09302325581395349,0.08333333333333333,0.2222222222222222,0.9692967171717173,0.13541016122708818,0.9785637727759914,0.7740916271721959,0.8675675675675676,0.8527131782945736
by_dependency_bucket_all_steps,fully_independent,1800,0.8765794853294853,0.8849942392997948,0.24774774774774774,0.09009009009009009,0.40540540540540543,0.9789981762065095,0.1314999580462991,0.9638989169675091,0.6543524416135881,0.935585001881035,0.5423423423423424
by_dependency_bucket_all_steps,partially_dependent,1800,0.8691033750200416,0.876374124846347,0.2529100529100529,0.10444444444444445,0.3878787878787879,0.9760036475869809,0.13394417582194745,0.9719461011707533,0.7158049138247158,0.9180004200798152,0.49417989417989416
by_dependency_bucket_all_steps,strongly_interacting,1800,0.8758004649671317,0.8818002923002922,0.2571428571428571,0.12056737588652482,0.4423076923076923,0.9707456509539842,0.1342661953342349,0.9783421933451467,0.7380298871607197,0.8917177502349098,0.5619047619047619
by_event_type_all_steps,edge_add,1428,0.8604352852252012,0.8775090403941945,0.10364145658263306,0.10364145658263306,,0.9945524927142574,0.12790080433459441,0.9656862745098039,0.14565826330532214,0.9892104990144206,0.8543417366946778
by_event_type_all_steps,edge_delete,1362,0.8760600551349451,0.8868179653054837,0.40748898678414097,,0.40748898678414097,0.9960065041012177,0.1277113820595898,0.9761380323054332,0.8076358296622613,0.9359235742995282,0.19236417033773867
by_event_type_all_steps,motif_type_flip,1149,0.8809140767365311,0.8809140767365311,,,,0.9013142741602272,0.13056668572781435,0.9823034522773426,0.8520452567449956,0.8763966921280222,
by_event_type_all_steps,node_state_update,1461,0.8792637433294517,0.8792637433294517,,,,0.9951769578052945,0.1457030935716946,0.9655682298267849,0.8087381607088299,0.8512169074251026,
by_corruption_setting_final,N1,600,0.9004433621933621,0.9078209167375834,0.22483221476510068,0.08176100628930817,0.38848920863309355,0.977409090909091,0.09317366488762074,0.9766536964980544,0.7314225053078556,0.9076902465166131,0.5369127516778524
by_corruption_setting_final,N2,600,0.8734824434824435,0.8805872214205548,0.2181208053691275,0.1069182389937107,0.34532374100719426,0.9770180976430975,0.11966818329420957,0.9734111543450065,0.721868365180467,0.9125739264592441,0.5067114093959731
by_corruption_setting_final,N3,600,0.850731240981241,0.857005534588868,0.2651006711409396,0.11949685534591195,0.4316546762589928,0.9766763468013467,0.1855281088931693,0.9675745784695201,0.6751592356687898,0.9191970524710964,0.6006711409395973
by_corruption_setting_all_steps,N1,1800,0.89918746993747,0.90707191779414,0.22580645161290322,0.07773109243697479,0.381057268722467,0.9758068181818181,0.09347588610602282,0.9777632439502943,0.7434517402224614,0.9086218302094818,0.5139784946236559
by_corruption_setting_all_steps,N2,1800,0.8731760461760462,0.8804924067701845,0.24301075268817204,0.09663865546218488,0.3964757709251101,0.9752544893378227,0.1198875506910277,0.9727490734684979,0.7086472909939002,0.9158679446219382,0.5193548387096774
by_corruption_setting_all_steps,N3,1800,0.8491198092031425,0.8556043318821096,0.2870967741935484,0.13655462184873948,0.44493392070484583,0.974686167227834,0.18634689240543095,0.9651188140396774,0.6695371367061357,0.9220127888995695,0.5602150537634409
