mode,group,full_edge,context_edge,changed_edge,add,delete,delta_full_edge_vs_step9c,delta_context_edge_vs_step9c,delta_changed_edge_vs_step9c,delta_add_vs_step9c,delta_delete_vs_step9c,false_scope_preserve_rate,true_changed_correct_rate,false_scope_extra_context_errors,fallback_fraction,step9c_kept_fraction,fallback_false_scope_fraction,fallback_changed_fraction,step9c_kept_false_scope_fraction,step9c_kept_changed_fraction,chosen_correct_rate_on_rescued
base,overall,0.9688921784182685,0.982779202405164,0.07275320970042796,0.021994134897360705,0.12083333333333333,0.01142869582253958,0.01210319214784683,-0.03209700427960056,-0.02346041055718475,-0.04027777777777779,,,,,,,,,,
step9c_completion_only,overall,0.9574634825957289,0.9706760102573172,0.10485021398002853,0.045454545454545456,0.16111111111111112,0.0,0.0,0.0,0.0,0.0,0.768557380980933,0.3193916349809886,1930.0,,,,,,,
step9c_oracle_false_scope_fallback,overall,0.968805102640573,0.9821933857989212,0.10485021398002853,0.045454545454545456,0.16111111111111112,0.01134162004484407,0.011517375541604036,0.0,0.0,0.0,1.0,0.3193916349809886,0.0,,,,,,,
step17_learned_rescue_conditioned_gate,overall,0.9688921784182685,0.982779202405164,0.07275320970042796,0.021994134897360705,0.12083333333333333,0.01142869582253958,0.01210319214784683,-0.03209700427960056,-0.02346041055718475,-0.04027777777777779,1.0,0.0,0.0,1.0,0.0,0.8799198058457318,0.02775139812176849,,,0.9722486018782315
oracle_choose_better_of_two_paths,overall,0.9693819796678059,0.982779202405164,0.10485021398002853,0.045454545454545456,0.16111111111111112,0.011918497072077039,0.01210319214784683,0.0,0.0,0.0,1.0,0.3193916349809886,0.0,0.99113643558088,0.008863564419119974,0.8877887788778878,0.01905674438411583,0.0,1.0,0.9811121662973514
