mode,group,full_edge,context_edge,changed_edge,add,delete,delta_full_edge_vs_step9c,delta_context_edge_vs_step9c,delta_changed_edge_vs_step9c,delta_add_vs_step9c,delta_delete_vs_step9c,false_scope_preserve_rate,true_changed_correct_rate,false_scope_extra_context_errors,fallback_fraction,step9c_kept_fraction,fallback_false_scope_fraction,fallback_changed_fraction,step9c_kept_false_scope_fraction,step9c_kept_changed_fraction,chosen_correct_rate_on_rescued
base,overall,0.8742081546465812,0.8835551330798479,0.2710413694721826,0.09579667644183773,0.43703703703703706,0.03335365101479559,0.03532584667079319,-0.0939134569662387,-0.1857282502443793,-0.00694444444444442,,,,,,,,,,
step9c_completion_only,overall,0.8408545036317856,0.8482292864090547,0.3649548264384213,0.28152492668621704,0.4439814814814815,0.0,0.0,0.0,0.0,0.0,0.31033219792696776,0.7895299145299145,17178.0,,,,,,,
step9c_oracle_false_scope_fallback,overall,0.8755977389323059,0.8835109205057918,0.3649548264384213,0.28152492668621704,0.4439814814814815,0.03474323530052026,0.035281634096737124,0.0,0.0,0.0,0.9394938285170128,0.7895299145299145,0.0,,,,,,,
step17_learned_rescue_conditioned_gate,overall,0.8742081546465812,0.8835551330798479,0.2710413694721826,0.09579667644183773,0.43703703703703706,0.03335365101479559,0.03532584667079319,-0.0939134569662387,-0.1857282502443793,-0.00694444444444442,0.9394938285170128,0.03205128205128205,0.0,1.0,0.0,0.9493393602225313,0.032545201668984704,,,0.9081710709318498
oracle_choose_better_of_two_paths,overall,0.8773319981714087,0.8852499484186636,0.3663813599619591,0.2820136852394917,0.4462962962962963,0.03647749453962312,0.03702066200960885,0.0014265335235377763,0.0004887585532746819,0.002314814814814825,0.9676592315862725,0.8023504273504274,-769.0,0.9460709318497914,0.05392906815020862,0.9751920320482194,0.007901797199456063,0.49580915538362347,0.46486137975499675,0.9621001390820584
