mode,group,edge_recall,out_of_scope_miss_edge,edge_pred_total,recall_recovery_fraction_vs_naive,cost_fraction_vs_naive,rescued_event_scope_precision,rescued_changed_edge_precision,rescued_true_changed_fraction,rescued_true_scope_context_fraction,rescued_false_scope_fraction,event_scope_precision_at_budget,changed_edge_precision_at_budget,event_scope_recall_at_budget,changed_edge_recall_at_budget,event_scope_ap,event_scope_auroc,changed_edge_ap,changed_edge_auroc,full_edge,changed_edge,context_edge,add,delete
base,overall,0.48097955301949596,0.5190204469805041,146566,,,,,,,,,,,,,,,,0.8754634971083586,0.2622444127436995,0.8849662510684705,0.08944281524926687,0.42592592592592593
completion_only,overall,0.5922491678554446,0.4077508321445554,175326,0.23828920570264758,0.09236658873101924,0.05066063977746871,0.032545201668984704,0.032545201668984704,0.018115438108484004,0.9493393602225313,0.05066063977746871,0.032545201668984704,0.24389019082691663,0.23828920570264767,0.042352222382603257,0.7023597997920391,0.02865445006889141,0.714134269008428,0.8418014527142246,0.3547313361864004,0.8493493382851416,0.26881720430107525,0.4361111111111111
guard_only,overall,0.5912981455064193,0.4087018544935806,175326,0.23625254582484712,0.09236658873101924,0.05132127955493737,0.03226703755215577,0.03226703755215577,0.019054242002781642,0.9486787204450626,0.05132127955493741,0.03226703755215577,0.24707063943756277,0.23625254582484725,0.04152361445495585,0.7014929480012756,0.028465338976951336,0.7125912113131342,0.8420263984732713,0.35330480266286257,0.8495998762047926,0.26637341153470184,0.4356481481481482
product,overall,0.5932001902044698,0.4067998097955302,175326,0.24032586558044802,0.09236658873101924,0.05090403337969407,0.03282336578581363,0.03282336578581363,0.01808066759388039,0.9490959666203059,0.05090403337969402,0.03282336578581363,0.24506193505189153,0.24032586558044808,0.0422542356191609,0.7034995876254091,0.028797798389815506,0.7150018707804758,0.8417760556123967,0.3540180694246315,0.8493346007604563,0.26832844574780057,0.4351851851851852
guard_then_completion,overall,0.5912981455064193,0.4087018544935806,175326,0.23625254582484712,0.09236658873101924,0.05132127955493737,0.03226703755215577,0.03226703755215577,0.019054242002781642,0.9486787204450626,0.05132127955493741,0.03226703755215577,0.24707063943756277,0.23625254582484725,0.04152360679235672,0.7014929562230497,0.02846534091926155,0.7125912171096389,0.8420263984732713,0.35330480266286257,0.8495998762047926,0.26637341153470184,0.4356481481481482
oracle_guard_then_completion,overall,0.9323585354255824,0.0676414645744175,175326,0.9666496945010182,0.09236658873101924,0.20059109874826142,0.13202364394993046,0.13202364394993046,0.06856745479833101,0.7994089012517386,0.20059109874826148,0.13202364394993046,0.9656846334114496,0.9666496945010183,1.0,1.0,0.6686662413680626,0.9968296705054764,0.8512818280108264,0.5848787446504993,0.8554101453119934,0.770772238514174,0.40879629629629627
naive_induced_closure_reference,overall,0.9479315263908702,0.05206847360912981,457934,,,,,,,,,,,,,,,,0.7412216731610685,0.3640038040893961,0.7470672325876145,0.4579667644183773,0.275
