mode,group,edge_recall,out_of_scope_miss_edge,edge_pred_total,recall_recovery_fraction_vs_naive,cost_fraction_vs_naive,rescued_event_scope_precision,rescued_changed_edge_precision,rescued_true_changed_fraction,rescued_true_scope_context_fraction,rescued_false_scope_fraction,event_scope_precision_at_budget,changed_edge_precision_at_budget,event_scope_recall_at_budget,changed_edge_recall_at_budget,event_scope_ap,event_scope_auroc,changed_edge_ap,changed_edge_auroc,full_edge,changed_edge,context_edge,add,delete
base,overall,0.48097955301949596,0.5190204469805041,146566,,,,,,,,,,,,,,,,0.8742081546465812,0.2710413694721826,0.8835551330798479,0.09579667644183773,0.43703703703703706
completion_only,overall,0.5922491678554446,0.4077508321445554,175326,0.23828920570264758,0.09236658873101924,0.05066063977746871,0.032545201668984704,0.032545201668984704,0.018115438108484004,0.9493393602225313,0.05066063977746871,0.032545201668984704,0.24389019082691663,0.23828920570264767,0.042352222382603257,0.7023597997920391,0.02865445006889141,0.714134269008428,0.8408545036317856,0.3649548264384213,0.8482292864090547,0.28152492668621704,0.4439814814814815
guard_only,overall,0.5912981455064193,0.4087018544935806,175326,0.23625254582484712,0.09236658873101924,0.05132127955493737,0.03226703755215577,0.03226703755215577,0.019054242002781642,0.9486787204450626,0.05132127955493741,0.03226703755215577,0.24707063943756277,0.23625254582484725,0.04152361445495585,0.7014929480012756,0.028465338976951336,0.7125912113131342,0.8408109657429378,0.36329053732762717,0.848210864503198,0.2781036168132942,0.4439814814814815
product,overall,0.5932001902044698,0.4067998097955302,175326,0.24032586558044802,0.09236658873101924,0.05090403337969407,0.03282336578581363,0.03282336578581363,0.01808066759388039,0.9490959666203059,0.05090403337969402,0.03282336578581363,0.24506193505189153,0.24032586558044808,0.0422542356191609,0.7034995876254091,0.028797798389815506,0.7150018707804758,0.8407565433818781,0.3642415596766524,0.8481408612609426,0.2810361681329423,0.44305555555555554
guard_then_completion,overall,0.5912981455064193,0.4087018544935806,175326,0.23625254582484712,0.09236658873101924,0.05132127955493737,0.03226703755215577,0.03226703755215577,0.019054242002781642,0.9486787204450626,0.05132127955493741,0.03226703755215577,0.24707063943756277,0.23625254582484725,0.04152360679235672,0.7014929562230497,0.02846534091926155,0.7125912171096389,0.8408073375855338,0.3630527817403709,0.848210864503198,0.2776148582600195,0.4439814814814815
oracle_guard_then_completion,overall,0.9323585354255824,0.0676414645744175,175326,0.9666496945010182,0.09236658873101924,0.20059109874826142,0.13202364394993046,0.13202364394993046,0.06856745479833101,0.7994089012517386,0.20059109874826148,0.13202364394993046,0.9656846334114496,0.9666496945010183,1.0,1.0,0.6686662413680626,0.9968296705054764,0.8505307994282024,0.6050879695672848,0.8543343060099625,0.8069403714565004,0.41388888888888886
naive_induced_closure_reference,overall,0.9479315263908702,0.05206847360912981,457934,,,,,,,,,,,,,,,,0.7917219960670774,0.30836899667142176,0.7992122793055678,0.3411534701857282,0.2773148148148148
