mode,group,edge_recall,out_of_scope_miss_edge,edge_pred_total,recall_recovery_fraction_vs_naive,cost_fraction_vs_naive,rescued_event_scope_precision,rescued_changed_edge_precision,rescued_true_changed_fraction,rescued_true_scope_context_fraction,rescued_false_scope_fraction,false_scope_extra_context_errors,true_scope_extra_context_errors,spillover_context_drop,event_scope_precision_at_budget,event_scope_recall_at_budget,changed_edge_precision_at_budget,changed_edge_recall_at_budget,full_edge,changed_edge,context_edge,add,delete
base,overall,0.48097955301949596,0.5190204469805041,146566,,,,,,,,,,,,,,,0.8742081546465812,0.2710413694721826,0.8835551330798479,0.09579667644183773,0.43703703703703706
step9c_completion_only,overall,0.5922491678554446,0.4077508321445554,175326,0.23828920570264758,0.09236658873101924,0.05066063977746871,0.032545201668984704,0.032545201668984704,0.018115438108484004,0.9493393602225313,17178.0,37.0,0.0,0.05066063977746871,0.24389019082691663,0.032545201668984704,0.23828920570264767,0.8408545036317856,0.3649548264384213,0.8482292864090547,0.28152492668621704,0.4439814814814815
step11_vanilla_guard_product,overall,0.5932001902044698,0.4067998097955302,175326,0.24032586558044802,0.09236658873101924,0.05090403337969407,0.03282336578581363,0.03282336578581363,0.01808066759388039,0.9490959666203059,17212.0,33.0,0.0,0.05090403337969402,0.24506193505189153,0.03282336578581363,0.24032586558044808,0.8407565433818781,0.3642415596766524,0.8481408612609426,0.2810361681329423,0.44305555555555554
step13_tail_focused_guard_product,overall,0.5892772230147408,0.41072277698525916,175326,0.23192464358452136,0.09236658873101924,0.050452016689847,0.0316759388038943,0.0316759388038943,0.018776077885952713,0.949547983310153,17204.0,35.0,0.0,0.05045201668984701,0.24288583863408103,0.0316759388038943,0.2319246435845214,0.8407456589096661,0.3644793152639087,0.8481261237362573,0.28005865102639294,0.4444444444444444
oracle_event_scope_guard_budget_0.10,overall,0.9323585354255824,0.0676414645744175,175326,0.9666496945010182,0.09236658873101924,0.20059109874826142,0.13202364394993046,0.13202364394993046,0.06856745479833101,0.7994089012517386,14525.0,-577.0,0.0,0.20059109874826148,0.9656846334114496,0.13202364394993046,0.9666496945010183,0.8505307994282024,0.6050879695672848,0.8543343060099625,0.8069403714565004,0.41388888888888886
naive_induced_closure_reference,overall,0.9479315263908702,0.05206847360912981,457934,,,,,,,,,,,,,,,0.7917219960670774,0.30836899667142176,0.7992122793055678,0.3411534701857282,0.2773148148148148
