mode,group,edge_recall,out_of_scope_miss_edge,edge_pred_total,recall_recovery_fraction_vs_naive,cost_fraction_vs_naive,rescued_event_scope_precision,rescued_changed_edge_precision,rescued_true_changed_fraction,rescued_true_scope_context_fraction,rescued_false_scope_fraction,false_scope_extra_context_errors,true_scope_extra_context_errors,spillover_context_drop,event_scope_precision_at_budget,event_scope_recall_at_budget,changed_edge_precision_at_budget,changed_edge_recall_at_budget,full_edge,changed_edge,context_edge,add,delete
base,overall,0.48097955301949596,0.5190204469805041,146566,,,,,,,,,,,,,,,0.8754634971083586,0.2622444127436995,0.8849662510684705,0.08944281524926687,0.42592592592592593
step9c_completion_only,overall,0.5922491678554446,0.4077508321445554,175326,0.23828920570264758,0.09236658873101924,0.05066063977746871,0.032545201668984704,0.032545201668984704,0.018115438108484004,0.9493393602225313,17381.0,44.0,0.0,0.05066063977746871,0.24389019082691663,0.032545201668984704,0.23828920570264767,0.8418014527142246,0.3547313361864004,0.8493493382851416,0.26881720430107525,0.4361111111111111
step11_vanilla_guard_product,overall,0.5932001902044698,0.4067998097955302,175326,0.24032586558044802,0.09236658873101924,0.05090403337969407,0.03282336578581363,0.03282336578581363,0.01808066759388039,0.9490959666203059,17368.0,44.0,0.0,0.05090403337969402,0.24506193505189153,0.03282336578581363,0.24032586558044808,0.8417760556123967,0.3540180694246315,0.8493346007604563,0.26832844574780057,0.4351851851851852
step13_tail_focused_guard_product,overall,0.5892772230147408,0.41072277698525916,175326,0.23192464358452136,0.09236658873101924,0.050452016689847,0.0316759388038943,0.0316759388038943,0.018776077885952713,0.949547983310153,17319.0,51.0,0.0,0.05045201668984701,0.24288583863408103,0.0316759388038943,0.2319246435845214,0.8418595032326882,0.3537803138373752,0.8494230259085684,0.2673509286412512,0.4356481481481482
oracle_event_scope_guard_budget_0.10,overall,0.9323585354255824,0.0676414645744175,175326,0.9666496945010182,0.09236658873101924,0.20059109874826142,0.13202364394993046,0.13202364394993046,0.06856745479833101,0.7994089012517386,14658.0,-489.0,0.0,0.20059109874826148,0.9656846334114496,0.13202364394993046,0.9666496945010183,0.8512818280108264,0.5848787446504993,0.8554101453119934,0.770772238514174,0.40879629629629627
naive_induced_closure_reference,overall,0.9479315263908702,0.05206847360912981,457934,,,,,,,,,,,,,,,0.7412216731610685,0.3640038040893961,0.7470672325876145,0.4579667644183773,0.275
