mode,full_edge,context_edge,changed_edge,add,delete,delta_full_edge_vs_step9c,delta_context_edge_vs_step9c,delta_changed_edge_vs_step9c,delta_add_vs_step9c,delta_delete_vs_step9c,actual_keep_fraction,chooser_target_precision_among_kept,chooser_target_recall,gt_changed_precision_among_kept,gt_false_scope_fraction_among_kept,false_scope_preserve_rate,true_changed_correct_rate
base,0.8742081546465812,0.8835551330798479,0.2710413694721826,0.09579667644183773,0.43703703703703706,0.03335365101479559,0.03532584667079319,-0.0939134569662387,-0.1857282502443793,-0.00694444444444442,,,,,,,
step9c_completion_only,0.8408545036317856,0.8482292864090547,0.3649548264384213,0.28152492668621704,0.4439814814814815,0.0,0.0,0.0,0.0,0.0,,,,,,0.31033219792696776,0.7895299145299145
step17_thresholded_gate,0.8742081546465812,0.8835551330798479,0.2710413694721826,0.09579667644183773,0.43703703703703706,0.03335365101479559,0.03532584667079319,-0.0939134569662387,-0.1857282502443793,-0.00694444444444442,0.0,,0.0,,,0.9394938285170128,0.03205128205128205
step9c_oracle_false_scope_fallback,0.8755977389323059,0.8835109205057918,0.3649548264384213,0.28152492668621704,0.4439814814814815,0.03474323530052026,0.035281634096737124,0.0,0.0,0.0,,,,,,0.9394938285170128,0.7895299145299145
oracle_choose_better_of_two_paths,0.8773319981714087,0.8852499484186636,0.3663813599619591,0.2820136852394917,0.4462962962962963,0.03647749453962312,0.03702066200960885,0.0014265335235377763,0.0004887585532746819,0.002314814814814825,0.05392906815020862,1.0,1.0,0.46486137975499675,0.49580915538362347,0.9676592315862725,0.8023504273504274
step18_vanilla_topk_keep_0p02,0.873489779480593,0.8827924661773808,0.2731811697574893,0.09579667644183773,0.4412037037037037,0.03263527584880743,0.034563179768326124,-0.09177365668093201,-0.1857282502443793,-0.002777777777777768,0.020027816411682893,0.15625,0.058027079303675046,0.03125,0.9270833333333334,0.9252096839175182,0.05128205128205128
step19_ranking_topk_keep_0p02,0.873489779480593,0.8827961505585522,0.272943414170233,0.09579667644183773,0.44074074074074077,0.03263527584880743,0.0345668641494975,-0.09201141226818832,-0.1857282502443793,-0.0032407407407407107,0.020027816411682893,0.15625,0.058027079303675046,0.027777777777777776,0.9479166666666666,0.9249166758231696,0.049145299145299144
step18_vanilla_topk_keep_0p05,0.8724557546204584,0.8817203112565214,0.2746077032810271,0.09530791788856305,0.4444444444444444,0.031601250988672835,0.03349102484746669,-0.09034712315739418,-0.186217008797654,0.0004629629629629428,0.05,0.16411682892906815,0.1521598968407479,0.02364394993045897,0.9276773296244785,0.9055781415961616,0.0641025641025641
step19_ranking_topk_keep_0p05,0.8724412419908425,0.881705573731836,0.2746077032810271,0.09579667644183773,0.4439814814814815,0.0315867383590569,0.033476287322781295,-0.09034712315739418,-0.1857282502443793,0.0,0.05,0.16133518776077885,0.14958091553836234,0.02086230876216968,0.9276773296244785,0.9054316375489873,0.0641025641025641
step18_vanilla_topk_keep_0p1,0.8703623077983615,0.8794654699796622,0.28292914883499765,0.1104594330400782,0.4462962962962963,0.029507804166575946,0.031236183570607534,-0.08202567760342366,-0.17106549364613882,0.002314814814814825,0.1,0.13143254520166897,0.2437137330754352,0.03616133518776078,0.9290681502086231,0.8617001794674578,0.1388888888888889
step19_ranking_topk_keep_0p1,0.8703078854373019,0.8794175730244348,0.28245363766048504,0.10948191593352884,0.4462962962962963,0.029453381805516266,0.03118828661538009,-0.08250118877793627,-0.17204301075268819,0.002314814814814825,0.10010431154381084,0.1312955887460924,0.2437137330754352,0.03473428273706148,0.9312261201806182,0.8618100575028386,0.1346153846153846
step18_vanilla_topk_keep_0p2,0.8659069305062731,0.8747420933180063,0.29576795054683785,0.13685239491691104,0.4462962962962963,0.0250524268744875,0.026512806908951636,-0.06918687589158345,-0.144672531769306,0.002314814814814825,0.2,0.10222531293463143,0.379110251450677,0.0368567454798331,0.9450625869262865,0.7676445811815551,0.25427350427350426
step19_ranking_topk_keep_0p2,0.865736407108286,0.8745136616853834,0.2993342843556824,0.1441837732160313,0.4462962962962963,0.024881903476500433,0.026284375276328653,-0.06562054208273893,-0.13734115347018575,0.002314814814814825,0.2,0.10535465924895689,0.390715667311412,0.04033379694019471,0.9407162726008345,0.7680474673112845,0.27564102564102566
ranking_diagnostics::vanilla_bce,,,,,,,,,,,,0.11135134275769665,0.709445325897329,,,,
ranking_diagnostics::pairwise_keep_ranking,,,,,,,,,,,,0.10856096180387653,0.7128412041953635,,,,
