mode,group,edge_recall,out_of_scope_miss_edge,edge_pred_total,recall_recovery_fraction_vs_naive,cost_fraction_vs_naive,rescued_event_scope_precision,rescued_changed_edge_precision,rescued_true_changed_fraction,rescued_true_scope_context_fraction,rescued_false_scope_fraction,false_scope_extra_context_errors,true_scope_extra_context_errors,spillover_context_drop,event_scope_precision_at_budget,event_scope_recall_at_budget,changed_edge_precision_at_budget,changed_edge_recall_at_budget,event_scope_ap,event_scope_auroc,full_edge,changed_edge,context_edge,add,delete
base,overall,0.48097955301949596,0.5190204469805041,146566,,,,,,,,,,,,,,,,,0.8754634971083586,0.2622444127436995,0.8849662510684705,0.08944281524926687,0.42592592592592593
step9c_completion_only,overall,0.5922491678554446,0.4077508321445554,175326,0.23828920570264758,0.09236658873101924,0.05066063977746871,0.032545201668984704,0.032545201668984704,0.018115438108484004,0.9493393602225313,17381.0,44.0,0.0,0.05066063977746871,0.24389019082691663,0.032545201668984704,0.23828920570264767,0.042352222382603257,0.7023597997920391,0.8418014527142246,0.3547313361864004,0.8493493382851416,0.26881720430107525,0.4361111111111111
step11_vanilla_guard_product,overall,0.5932001902044698,0.4067998097955302,175326,0.24032586558044802,0.09236658873101924,0.05090403337969407,0.03282336578581363,0.03282336578581363,0.01808066759388039,0.9490959666203059,17368.0,44.0,0.0,0.05090403337969402,0.24506193505189153,0.03282336578581363,0.24032586558044808,0.0422542356191609,0.7034995876254091,0.8417760556123967,0.3540180694246315,0.8493346007604563,0.26832844574780057,0.4351851851851852
step14_scores_only_probe,overall,0.5867807893485497,0.4132192106514503,175326,0.22657841140529536,0.09236658873101924,0.0505215577190542,0.030945757997218357,0.030945757997218357,0.019575799721835884,0.9494784422809458,16298.0,64.0,0.0,0.05052155771905424,0.24322062269835956,0.030945757997218357,0.2265784114052953,0.04371785590750021,0.7029678613766088,0.8428282212595511,0.3518782691393248,0.8504362307306865,0.2590420332355816,0.4398148148148148
step14_enriched_local_context_probe,overall,0.6000951022349025,0.39990489776509747,175326,0.25509164969450093,0.09236658873101924,0.06251738525730177,0.034840055632823365,0.034840055632823365,0.02767732962447844,0.9374826147426982,16100.0,123.0,0.0,0.06251738525730181,0.30097087378640774,0.034840055632823365,0.25509164969450104,0.05554244172664881,0.7365674320894997,0.8425669939264645,0.3601997146932953,0.8500420019453533,0.272238514173998,0.44351851851851853
oracle_event_scope_guard_budget_0.10,overall,0.9323585354255824,0.0676414645744175,175326,0.9666496945010182,0.09236658873101924,0.20059109874826142,0.13202364394993046,0.13202364394993046,0.06856745479833101,0.7994089012517386,14658.0,-489.0,0.0,0.20059109874826148,0.9656846334114496,0.13202364394993046,0.9666496945010183,1.0,1.0,0.8512818280108264,0.5848787446504993,0.8554101453119934,0.770772238514174,0.40879629629629627
naive_induced_closure_reference,overall,0.9479315263908702,0.05206847360912981,457934,,,,,,,,,,,,,,,,,0.7412216731610685,0.3640038040893961,0.7470672325876145,0.4579667644183773,0.275
