mode,group,edge_recall,out_of_scope_miss_edge,edge_pred_total,recall_recovery_fraction_vs_naive,cost_fraction_vs_naive,rescued_event_scope_precision,rescued_changed_edge_precision,rescued_true_changed_fraction,rescued_true_scope_context_fraction,rescued_false_scope_fraction,false_scope_extra_context_errors,true_scope_extra_context_errors,spillover_context_drop,event_scope_precision_at_budget,event_scope_recall_at_budget,changed_edge_precision_at_budget,changed_edge_recall_at_budget,event_scope_ap,event_scope_auroc,full_edge,changed_edge,context_edge,add,delete
base,overall,0.20114122681883023,0.7988587731811697,14150,,,,,,,,,,,,,,,,,0.9688921784182685,0.07275320970042796,0.982779202405164,0.021994134897360705,0.12083333333333333
step9c_completion_only,overall,0.2949358059914408,0.7050641940085592,23627,0.150802752293578,0.09217974905164868,0.12008019415426818,0.02775139812176849,0.02775139812176849,0.09232879603249973,0.8799198058457318,1930.0,106.0,0.0,0.12008019415426822,0.2571170356981473,0.02775139812176849,0.15080275229357798,0.11174171196083865,0.7776842803656479,0.9574634825957289,0.10485021398002853,0.9706760102573172,0.045454545454545456,0.16111111111111112
step11_vanilla_guard_product,overall,0.29529243937232524,0.7047075606276747,23627,0.1513761467889908,0.09217974905164868,0.11870845204178537,0.027856916745805635,0.027856916745805635,0.09085153529597974,0.8812915479582146,1836.0,102.0,0.0,0.11870845204178537,0.254179846362404,0.027856916745805635,0.15137614678899083,0.1116702514593277,0.7792254486363163,0.9579859372619022,0.10556348074179743,0.9711955080024759,0.04838709677419355,0.1597222222222222
step14_scores_only_probe,overall,0.30527817403708984,0.6947218259629101,23627,0.16743119266055043,0.09217974905164868,0.11934156378600824,0.030811438218845626,0.030811438218845626,0.08853012556716261,0.8806584362139918,1850.0,112.0,0.0,0.11934156378600823,0.25553547220967016,0.030811438218845626,0.16743119266055045,0.11267011929463328,0.7815955685724967,0.9578009012342992,0.10912981455064194,0.9709523388451675,0.04985337243401759,0.16527777777777777
step14_enriched_local_context_probe,overall,0.28744650499286734,0.7125534950071327,23627,0.13876146788990826,0.09217974905164868,0.1233512714994196,0.0255355070169885,0.0255355070169885,0.09781576448243115,0.8766487285005804,1479.0,76.0,0.0,0.12335127149941964,0.2641211025756891,0.0255355070169885,0.13876146788990826,0.11889176814738195,0.8017148236146833,0.9600213335655354,0.10057061340941512,0.9733398178441949,0.04398826979472141,0.15416666666666667
oracle_event_scope_guard_budget_0.10,overall,0.775320970042796,0.22467902995720399,23627,0.9231651376146787,0.09217974905164868,0.41215574548907885,0.1698849846997995,0.1698849846997995,0.2422707607892793,0.5878442545109211,1282.0,362.0,0.0,0.4121557454890788,0.8825124265702666,0.1698849846997995,0.9231651376146789,1.0,1.0,0.9647451945055184,0.43794579172610554,0.9729087452471483,0.6011730205278593,0.2833333333333333
naive_induced_closure_reference,overall,0.8231098430813124,0.1768901569186876,116960,,,,,,,,,,,,,,,,,0.8374839454034874,0.2845934379457917,0.8460518171367937,0.38563049853372433,0.18888888888888888
