mode,group,edge_recall,out_of_scope_miss_edge,edge_pred_total,recall_recovery_fraction_vs_naive,cost_fraction_vs_naive,rescued_event_scope_precision,rescued_changed_edge_precision,rescued_true_changed_fraction,rescued_true_scope_context_fraction,rescued_false_scope_fraction,false_scope_extra_context_errors,true_scope_extra_context_errors,spillover_context_drop,event_scope_precision_at_budget,event_scope_recall_at_budget,changed_edge_precision_at_budget,changed_edge_recall_at_budget,event_scope_ap,event_scope_auroc,full_edge,changed_edge,context_edge,add,delete
base,overall,0.48097955301949596,0.5190204469805041,146566,,,,,,,,,,,,,,,,,0.8742081546465812,0.2710413694721826,0.8835551330798479,0.09579667644183773,0.43703703703703706
step9c_completion_only,overall,0.5922491678554446,0.4077508321445554,175326,0.23828920570264758,0.09236658873101924,0.05066063977746871,0.032545201668984704,0.032545201668984704,0.018115438108484004,0.9493393602225313,17178.0,37.0,0.0,0.05066063977746871,0.24389019082691663,0.032545201668984704,0.23828920570264767,0.042352222382603257,0.7023597997920391,0.8408545036317856,0.3649548264384213,0.8482292864090547,0.28152492668621704,0.4439814814814815
step11_vanilla_guard_product,overall,0.5932001902044698,0.4067998097955302,175326,0.24032586558044802,0.09236658873101924,0.05090403337969407,0.03282336578581363,0.03282336578581363,0.01808066759388039,0.9490959666203059,17212.0,33.0,0.0,0.05090403337969402,0.24506193505189153,0.03282336578581363,0.24032586558044808,0.0422542356191609,0.7034995876254091,0.8407565433818781,0.3642415596766524,0.8481408612609426,0.2810361681329423,0.44305555555555554
step14_scores_only_probe,overall,0.5867807893485497,0.4132192106514503,175326,0.22657841140529536,0.09236658873101924,0.0505215577190542,0.030945757997218357,0.030945757997218357,0.019575799721835884,0.9494784422809458,16166.0,50.0,0.0,0.05052155771905424,0.24322062269835956,0.030945757997218357,0.2265784114052953,0.04371785590750021,0.7029678613766088,0.8416672108902773,0.3621017593913457,0.8490988003654906,0.272238514173998,0.44722222222222224
step14_enriched_local_context_probe,overall,0.6000951022349025,0.39990489776509747,175326,0.25509164969450093,0.09236658873101924,0.06251738525730177,0.034840055632823365,0.034840055632823365,0.02767732962447844,0.9374826147426982,16041.0,99.0,0.0,0.06251738525730181,0.30097087378640774,0.034840055632823365,0.25509164969450104,0.05554244172664881,0.7365674320894997,0.841344304881323,0.37089871611982883,0.848634568337902,0.2859237536656892,0.4513888888888889
oracle_event_scope_guard_budget_0.10,overall,0.9323585354255824,0.0676414645744175,175326,0.9666496945010182,0.09236658873101924,0.20059109874826142,0.13202364394993046,0.13202364394993046,0.06856745479833101,0.7994089012517386,14525.0,-577.0,0.0,0.20059109874826148,0.9656846334114496,0.13202364394993046,0.9666496945010183,1.0,1.0,0.8505307994282024,0.6050879695672848,0.8543343060099625,0.8069403714565004,0.41388888888888886
naive_induced_closure_reference,overall,0.9479315263908702,0.05206847360912981,457934,,,,,,,,,,,,,,,,,0.7917219960670774,0.30836899667142176,0.7992122793055678,0.3411534701857282,0.2773148148148148
