run,num_samples,proposal_changed_region_recall_node,proposal_changed_region_recall_edge,proposal_scope_excess_ratio_node,proposal_scope_excess_ratio_edge,out_of_scope_miss_node,out_of_scope_miss_edge,in_scope_under_edit_node_type,in_scope_under_edit_node_state_not_improved,in_scope_over_edit_node_type,in_scope_over_edit_node_state_mae,in_scope_under_edit_edge,in_scope_over_edit_edge,in_scope_under_edit_node_type_share_of_gt_changed,in_scope_under_edit_node_state_not_improved_share_of_gt_changed,in_scope_under_edit_edge_share_of_gt_changed
clean_w012,2000,0.9093198992443325,0.20114122681883023,0.9313731702680439,0.9601413427561838,0.0906801007556675,0.7988587731811697,0.492151431209603,0.7931671283471837,0.005306844468635189,0.08233319493009372,0.6382978723404256,0.22935374650375387,0.4475230898404702,0.7212426532325776,0.12838801711840228
clean_wg025,2000,0.9093198992443325,0.20114122681883023,0.9313731702680439,0.9601413427561838,0.0906801007556675,0.7988587731811697,0.4939981532779317,0.6860572483841182,0.007347938495033338,0.0878615902876437,0.5531914893617021,0.2796996908582364,0.44920235096557515,0.6238455079764903,0.11126961483594865
noisy_w012_p2,6000,0.9692135460397425,0.48097955301949596,0.9360834256183094,0.9723946890820517,0.030786453960257486,0.5190204469805041,0.46231591105977476,0.8039272307248051,0.004968748151507384,0.13199392653666622,0.573900148294612,0.33222003929273086,0.44808284354883854,0.7791771620486986,0.2760342368045649
noisy_rft1_p2,6000,0.9692135460397425,0.48097955301949596,0.9360834256183094,0.9723946890820517,0.030786453960257486,0.5190204469805041,0.4692463182211955,0.6696505919722784,0.0013802078198631622,0.11684505095429246,0.555610479485912,0.33759472354757225,0.4547998880492583,0.6490344248530646,0.2672372800760818
