run,section,group,full_edge_acc,context_edge_acc,changed_edge_acc,add,delete,proposal_node_scope_recall,proposal_edge_scope_recall,proposal_edge_scope_excess_ratio,proposal_out_of_scope_miss_edge
baseline_noisy_p2_w012,overall_final,overall,0.8748856822190156,0.8818045575823353,0.2360178970917226,0.10272536687631027,0.38848920863309355,0.972546476437527,0.7094833687190375,0.9132522822653918,0.5480984340044743
baseline_noisy_p2_w012,by_dependency_bucket_final,fully_independent,0.8767415824915825,0.885850720267387,0.2624113475177305,0.08717948717948718,0.41228070175438597,0.9545098039215686,0.5896296296296296,0.9496775825009482,0.5319148936170213
baseline_noisy_p2_w012,by_dependency_bucket_final,partially_dependent,0.8697487974987975,0.8775765253265253,0.2573099415204678,0.13580246913580246,0.36666666666666664,0.9804713804713805,0.7084745762711865,0.9196565863659661,0.45321637426900585
baseline_noisy_p2_w012,by_dependency_bucket_final,strongly_interacting,0.8781666666666667,0.8819864271530938,0.09302325581395349,0.08333333333333333,0.2222222222222222,0.9785637727759914,0.7740916271721959,0.8675675675675676,0.8527131782945736
baseline_noisy_p2_w012,by_corruption_setting_final,N1,0.9004433621933621,0.9078209167375834,0.22483221476510068,0.08176100628930817,0.38848920863309355,0.9766536964980544,0.7314225053078556,0.9076902465166131,0.5369127516778524
baseline_noisy_p2_w012,by_corruption_setting_final,N2,0.8734824434824435,0.8805872214205548,0.2181208053691275,0.1069182389937107,0.34532374100719426,0.9734111543450065,0.721868365180467,0.9125739264592441,0.5067114093959731
baseline_noisy_p2_w012,by_corruption_setting_final,N3,0.850731240981241,0.857005534588868,0.2651006711409396,0.11949685534591195,0.4316546762589928,0.9675745784695201,0.6751592356687898,0.9191970524710964,0.6006711409395973
baseline_noisy_p2_w012,by_event_type_all_steps,edge_add,0.8604352852252012,0.8775090403941945,0.10364145658263306,0.10364145658263306,,0.9656862745098039,0.14565826330532214,0.9892104990144206,0.8543417366946778
baseline_noisy_p2_w012,by_event_type_all_steps,edge_delete,0.8760600551349451,0.8868179653054837,0.40748898678414097,,0.40748898678414097,0.9761380323054332,0.8076358296622613,0.9359235742995282,0.19236417033773867
baseline_noisy_p2_w012,by_event_type_all_steps,motif_type_flip,0.8809140767365311,0.8809140767365311,,,,0.9823034522773426,0.8520452567449956,0.8763966921280222,
baseline_noisy_p2_w012,by_event_type_all_steps,node_state_update,0.8792637433294517,0.8792637433294517,,,,0.9655682298267849,0.8087381607088299,0.8512169074251026,
baseline_noisy_p2_rft1,overall_final,overall,0.8754438031104698,0.8820924651480206,0.25727069351230425,0.1111111111111111,0.4244604316546763,0.972546476437527,0.7094833687190375,0.9132522822653918,0.5480984340044743
baseline_noisy_p2_rft1,by_dependency_bucket_final,fully_independent,0.8764847282347282,0.885489217572551,0.2624113475177305,0.08205128205128205,0.4166666666666667,0.9545098039215686,0.5896296296296296,0.9496775825009482,0.5319148936170213
baseline_noisy_p2_rft1,by_dependency_bucket_final,partially_dependent,0.8727883597883598,0.8799565773732442,0.30994152046783624,0.16666666666666666,0.4388888888888889,0.9804713804713805,0.7084745762711865,0.9196565863659661,0.45321637426900585
baseline_noisy_p2_rft1,by_dependency_bucket_final,strongly_interacting,0.8770583213083213,0.880831600498267,0.10077519379844961,0.08333333333333333,0.3333333333333333,0.9785637727759914,0.7740916271721959,0.8675675675675676,0.8527131782945736
baseline_noisy_p2_rft1,by_corruption_setting_final,N1,0.9007151274651274,0.9077865036198369,0.2516778523489933,0.10062893081761007,0.4244604316546763,0.9766536964980544,0.7314225053078556,0.9076902465166131,0.5369127516778524
baseline_noisy_p2_rft1,by_corruption_setting_final,N2,0.8735511063011063,0.8803965324798658,0.2348993288590604,0.1069182389937107,0.381294964028777,0.9734111543450065,0.721868365180467,0.9125739264592441,0.5067114093959731
baseline_noisy_p2_rft1,by_corruption_setting_final,N3,0.8520651755651756,0.8580943593443593,0.28523489932885904,0.12578616352201258,0.4676258992805755,0.9675745784695201,0.6751592356687898,0.9191970524710964,0.6006711409395973
baseline_noisy_p2_rft1,by_event_type_all_steps,edge_add,0.8587724483732887,0.8755914409275753,0.11204481792717087,0.11204481792717087,,0.9656862745098039,0.14565826330532214,0.9892104990144206,0.8543417366946778
baseline_noisy_p2_rft1,by_event_type_all_steps,edge_delete,0.8750333204077697,0.8849813195995281,0.4265785609397944,,0.4265785609397944,0.9761380323054332,0.8076358296622613,0.9359235742995282,0.19236417033773867
