mode,group,edge_recall,out_of_scope_miss_edge,edge_pred_total,recall_recovery_fraction_vs_naive,cost_fraction_vs_naive,rescued_true_changed_fraction,rescued_true_scope_context_fraction,rescued_false_scope_fraction,false_scope_extra_context_errors,true_scope_extra_context_errors,spillover_context_drop,full_edge,changed_edge,context_edge,add,delete
base,overall,0.48097955301949596,0.5190204469805041,146566,,,,,,,,,0.8754634971083586,0.2622444127436995,0.8849662510684705,0.08944281524926687,0.42592592592592593
budget_completion_0.10,overall,0.5922491678554446,0.4077508321445554,175326,0.23828920570264758,0.09236658873101924,0.032545201668984704,0.018115438108484004,0.9493393602225313,17381.0,44.0,0.0,0.8418014527142246,0.3547313361864004,0.8493493382851416,0.26881720430107525,0.4361111111111111
guarded_budget_0.10,overall,0.5932001902044698,0.4067998097955302,175326,0.24032586558044802,0.09236658873101924,0.03282336578581363,0.01808066759388039,0.9490959666203059,17368.0,44.0,0.0,0.8417760556123967,0.3540180694246315,0.8493346007604563,0.26832844574780057,0.4351851851851852
oracle_event_scope_guard_budget_0.10,overall,0.9323585354255824,0.0676414645744175,152335,0.9666496945010182,0.018527915521183935,0.6581729935864101,0.3418270064135899,0.0,0.0,-489.0,0.0,0.8813157150009796,0.5848787446504993,0.8859094526483332,0.770772238514174,0.40879629629629627
naive_induced_closure_reference,overall,0.9479315263908702,0.05206847360912981,457934,,,,,,,,,0.7412216731610685,0.3640038040893961,0.7470672325876145,0.4579667644183773,0.275
