mode,group,edge_recall,out_of_scope_miss_edge,edge_pred_total,recall_recovery_fraction_vs_naive,cost_fraction_vs_naive,rescued_true_changed_fraction,rescued_true_scope_context_fraction,rescued_false_scope_fraction,false_scope_extra_context_errors,true_scope_extra_context_errors,spillover_context_drop,full_edge,changed_edge,context_edge,add,delete
base,overall,0.20114122681883023,0.7988587731811697,14150,,,,,,,,,0.9688921784182685,0.07275320970042796,0.982779202405164,0.021994134897360705,0.12083333333333333
budget_completion_0.10,overall,0.2949358059914408,0.7050641940085592,23627,0.150802752293578,0.09217974905164868,0.02775139812176849,0.09232879603249973,0.8799198058457318,1930.0,106.0,0.0,0.9574634825957289,0.10485021398002853,0.9706760102573172,0.045454545454545456,0.16111111111111112
guarded_budget_0.10,overall,0.29529243937232524,0.7047075606276747,23627,0.1513761467889908,0.09217974905164868,0.027856916745805635,0.09085153529597974,0.8812915479582146,1836.0,102.0,0.0,0.9579859372619022,0.10556348074179743,0.9711955080024759,0.04838709677419355,0.1597222222222222
oracle_event_scope_guard_budget_0.10,overall,0.775320970042796,0.22467902995720399,18056,0.9231651376146787,0.03799241318937847,0.4121863799283154,0.5878136200716846,0.0,0.0,362.0,0.0,0.9724949387204215,0.43794579172610554,0.9807785834291273,0.6011730205278593,0.2833333333333333
naive_induced_closure_reference,overall,0.8231098430813124,0.1768901569186876,116960,,,,,,,,,0.8374839454034874,0.2845934379457917,0.8460518171367937,0.38563049853372433,0.18888888888888888
