mode,group,edge_recall,out_of_scope_miss_edge,edge_pred_total,recall_recovery_fraction_vs_naive,cost_fraction_vs_naive,rescued_true_changed_fraction,rescued_true_scope_context_fraction,rescued_false_scope_fraction,false_scope_extra_context_errors,true_scope_extra_context_errors,spillover_context_drop,full_edge,changed_edge,context_edge,add,delete
base,overall,0.48097955301949596,0.5190204469805041,146566,,,,,,,,,0.8742081546465812,0.2710413694721826,0.8835551330798479,0.09579667644183773,0.43703703703703706
budget_completion_0.10,overall,0.5922491678554446,0.4077508321445554,175326,0.23828920570264758,0.09236658873101924,0.032545201668984704,0.018115438108484004,0.9493393602225313,17178.0,37.0,0.0,0.8408545036317856,0.3649548264384213,0.8482292864090547,0.28152492668621704,0.4439814814814815
guarded_budget_0.10,overall,0.5932001902044698,0.4067998097955302,175326,0.24032586558044802,0.09236658873101924,0.03282336578581363,0.01808066759388039,0.9490959666203059,17212.0,33.0,0.0,0.8407565433818781,0.3642415596766524,0.8481408612609426,0.2810361681329423,0.44305555555555554
oracle_event_scope_guard_budget_0.10,overall,0.9323585354255824,0.0676414645744175,152335,0.9666496945010182,0.018527915521183935,0.6581729935864101,0.3418270064135899,0.0,0.0,-577.0,0.0,0.8804014193351765,0.6050879695672848,0.8846678161935921,0.8069403714565004,0.41388888888888886
naive_induced_closure_reference,overall,0.9479315263908702,0.05206847360912981,457934,,,,,,,,,0.7917219960670774,0.30836899667142176,0.7992122793055678,0.3411534701857282,0.2773148148148148
