mode,group,edge_recall,out_of_scope_miss_edge,edge_pred_total,recall_recovery_fraction_vs_naive,cost_fraction_vs_naive,rescued_event_scope_precision,rescued_changed_edge_precision,rescued_true_changed_fraction,rescued_true_scope_context_fraction,rescued_false_scope_fraction,false_scope_extra_context_errors,true_scope_extra_context_errors,spillover_context_drop,event_scope_precision_at_budget,event_scope_recall_at_budget,changed_edge_precision_at_budget,changed_edge_recall_at_budget,event_scope_ap,event_scope_auroc,full_edge,changed_edge,context_edge,add,delete
base,overall,0.48097955301949596,0.5190204469805041,146566,,,,,,,,,,,,,,,,,0.8754634971083586,0.2622444127436995,0.8849662510684705,0.08944281524926687,0.42592592592592593
step9c_completion_only,overall,0.5922491678554446,0.4077508321445554,175326,0.23828920570264758,0.09236658873101924,0.05066063977746871,0.032545201668984704,0.032545201668984704,0.018115438108484004,0.9493393602225313,17381.0,44.0,0.0,0.05066063977746871,0.24389019082691663,0.032545201668984704,0.23828920570264767,0.042352222382603257,0.7023597997920391,0.8418014527142246,0.3547313361864004,0.8493493382851416,0.26881720430107525,0.4361111111111111
step14_enriched_local_context_probe,overall,0.6000951022349025,0.39990489776509747,175326,0.25509164969450093,0.09236658873101924,0.06251738525730177,0.034840055632823365,0.034840055632823365,0.02767732962447844,0.9374826147426982,16100.0,123.0,0.0,0.06251738525730181,0.30097087378640774,0.034840055632823365,0.25509164969450104,0.05554244172664881,0.7365674320894997,0.8425669939264645,0.3601997146932953,0.8500420019453533,0.272238514173998,0.44351851851851853
step15_learned_local_subgraph_guard,overall,0.5973609129814551,0.40263908701854495,175326,0.24923625254582493,0.09236658873101924,0.06133518776077884,0.03404033379694019,0.03404033379694019,0.027294853963838666,0.9386648122392212,16640.0,130.0,0.0,0.06133518776077886,0.29527954469367257,0.03404033379694019,0.24923625254582485,0.05389108009708738,0.731690578249629,0.8428681309909949,0.35782215882073226,0.8503846493942877,0.2653958944281525,0.44537037037037036
oracle_event_scope_guard_budget_0.10,overall,0.9323585354255824,0.0676414645744175,175326,0.9666496945010182,0.09236658873101924,0.20059109874826142,0.13202364394993046,0.13202364394993046,0.06856745479833101,0.7994089012517386,14658.0,-489.0,0.0,0.20059109874826148,0.9656846334114496,0.13202364394993046,0.9666496945010183,1.0,1.0,0.8512818280108264,0.5848787446504993,0.8554101453119934,0.770772238514174,0.40879629629629627
naive_induced_closure_reference,overall,0.9479315263908702,0.05206847360912981,457934,,,,,,,,,,,,,,,,,0.7412216731610685,0.3640038040893961,0.7470672325876145,0.4579667644183773,0.275
