mode,group,edge_recall,out_of_scope_miss_edge,edge_pred_total,recall_recovery_fraction_vs_naive,cost_fraction_vs_naive,rescued_event_scope_precision,rescued_changed_edge_precision,rescued_true_changed_fraction,rescued_true_scope_context_fraction,rescued_false_scope_fraction,false_scope_extra_context_errors,true_scope_extra_context_errors,spillover_context_drop,event_scope_precision_at_budget,event_scope_recall_at_budget,changed_edge_precision_at_budget,changed_edge_recall_at_budget,event_scope_ap,event_scope_auroc,full_edge,changed_edge,context_edge,add,delete
base,overall,0.48097955301949596,0.5190204469805041,146566,,,,,,,,,,,,,,,,,0.8742081546465812,0.2710413694721826,0.8835551330798479,0.09579667644183773,0.43703703703703706
step9c_completion_only,overall,0.5922491678554446,0.4077508321445554,175326,0.23828920570264758,0.09236658873101924,0.05066063977746871,0.032545201668984704,0.032545201668984704,0.018115438108484004,0.9493393602225313,17178.0,37.0,0.0,0.05066063977746871,0.24389019082691663,0.032545201668984704,0.23828920570264767,0.042352222382603257,0.7023597997920391,0.8408545036317856,0.3649548264384213,0.8482292864090547,0.28152492668621704,0.4439814814814815
step14_enriched_local_context_probe,overall,0.6000951022349025,0.39990489776509747,175326,0.25509164969450093,0.09236658873101924,0.06251738525730177,0.034840055632823365,0.034840055632823365,0.02767732962447844,0.9374826147426982,16041.0,99.0,0.0,0.06251738525730181,0.30097087378640774,0.034840055632823365,0.25509164969450104,0.05554244172664881,0.7365674320894997,0.841344304881323,0.37089871611982883,0.848634568337902,0.2859237536656892,0.4513888888888889
step15_learned_local_subgraph_guard,overall,0.5973609129814551,0.40263908701854495,175326,0.24923625254582493,0.09236658873101924,0.06133518776077884,0.03404033379694019,0.03404033379694019,0.027294853963838666,0.9386648122392212,16536.0,104.0,0.0,0.06133518776077886,0.29527954469367257,0.03404033379694019,0.24923625254582485,0.05389108009708738,0.731690578249629,0.8417869400846086,0.36828340466000953,0.84912459103369,0.27908113391984357,0.4527777777777778
oracle_event_scope_guard_budget_0.10,overall,0.9323585354255824,0.0676414645744175,175326,0.9666496945010182,0.09236658873101924,0.20059109874826142,0.13202364394993046,0.13202364394993046,0.06856745479833101,0.7994089012517386,14525.0,-577.0,0.0,0.20059109874826148,0.9656846334114496,0.13202364394993046,0.9666496945010183,1.0,1.0,0.8505307994282024,0.6050879695672848,0.8543343060099625,0.8069403714565004,0.41388888888888886
naive_induced_closure_reference,overall,0.9479315263908702,0.05206847360912981,457934,,,,,,,,,,,,,,,,,0.7917219960670774,0.30836899667142176,0.7992122793055678,0.3411534701857282,0.2773148148148148
